[23/Nov/2019:18:23:07] VendorID=5037 Code=C AcctID=5317605039838520	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:23:22] VendorID=9108 Code=A AcctID=2194850084423218	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:23:49] VendorID=1285 Code=F AcctID=8560077531775179	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:18:23:59] VendorID=1153 Code=D AcctID=4433276107716482	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Time Warp	categoryId=STRATEGY	price=99.97
[23/Nov/2019:18:24:28] VendorID=7042 Code=N AcctID=4139333167069488	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:24:50] VendorID=1065 Code=L AcctID=3168124750473449	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Holy Blade of Goada	categoryId=STRATEGY	price=178.65
[23/Nov/2019:18:25:11] VendorID=1024 Code=F AcctID=7633402281782166	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:25:32] VendorID=1040 Code=E AcctID=9187440375155309	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:25:52] VendorID=5006 Code=I AcctID=6825295469531006	VendorCountry=United States	VendorStateProvince=California	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:18:26:07] VendorID=7045 Code=F AcctID=4964694316264138	VendorCountry=United States	VendorStateProvince=California	product_name=Picking Cotton	categoryId=NEGOTIATION	price=65.89
[23/Nov/2019:18:26:33] VendorID=1199 Code=L AcctID=2915747554285763	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:26:36] VendorID=4112 Code=B AcctID=2928233072260731	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Holy Blade of Goada	categoryId=STRATEGY	price=178.65
[23/Nov/2019:18:26:55] VendorID=7034 Code=N AcctID=3565518107081047	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:18:27:22] VendorID=1239 Code=D AcctID=9140740856660300	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:27:48] VendorID=9104 Code=N AcctID=2275859872963969	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:28:14] VendorID=1041 Code=N AcctID=8455447835470183	VendorCountry=United States	VendorStateProvince=California	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:18:28:22] VendorID=5070 Code=B AcctID=8039947906648812	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:28:40] VendorID=1252 Code=F AcctID=7234663941091228	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:29:03] VendorID=1009 Code=A AcctID=6628745648452898	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:29:20] VendorID=1126 Code=M AcctID=7536414611746151	VendorCountry=United States	VendorStateProvince=California	product_name=Life in Mars	categoryId=STRATEGY	price=36.75
[23/Nov/2019:18:29:36] VendorID=7009 Code=I AcctID=6740439380337190	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:29:59] VendorID=5069 Code=E AcctID=2356847161261329	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:30:19] VendorID=1238 Code=F AcctID=7701097470611298	VendorCountry=United States	VendorStateProvince=California	product_name=Picking Cotton	categoryId=NEGOTIATION	price=65.89
[23/Nov/2019:18:30:45] VendorID=7016 Code=A AcctID=5796597856272178	VendorCountry=United States	VendorStateProvince=California	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:18:31:01] VendorID=3104 Code=D AcctID=5816905075214733	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Virtual Kingdom	categoryId=NEGOTIATION	price=407.76
[23/Nov/2019:18:31:20] VendorID=1228 Code=F AcctID=4013603031471537	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:31:53] VendorID=1181 Code=K AcctID=3603460422103974	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:32:05] VendorID=1009 Code=I AcctID=2524677475331892	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Holy Blade of Goada	categoryId=STRATEGY	price=178.65
[23/Nov/2019:18:32:20] VendorID=4114 Code=C AcctID=9716671855916929	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:32:48] VendorID=1098 Code=F AcctID=9363219854437254	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:18:33:02] VendorID=5018 Code=D AcctID=1242405799296148	VendorCountry=United States	VendorStateProvince=California	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:18:33:15] VendorID=1064 Code=N AcctID=6366997605954848	VendorCountry=United States	VendorStateProvince=California	product_name=Picking Cotton	categoryId=NEGOTIATION	price=65.89
[23/Nov/2019:18:33:44] VendorID=1077 Code=J AcctID=2144203504725188	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:34:11] VendorID=1034 Code=J AcctID=9535543097562237	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Changer	categoryId=STRATEGY	price=87.22
[23/Nov/2019:18:34:20] VendorID=1121 Code=B AcctID=3342996673404147	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:34:44] VendorID=7035 Code=B AcctID=7520470167325291	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Time Warp	categoryId=STRATEGY	price=99.97
[23/Nov/2019:18:34:56] VendorID=1090 Code=C AcctID=8042349683983936	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Dream Crusher	category
[23/Nov/2019:18:35:20] VendorID=3112 Code=N AcctID=3779507379335575	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:18:35:51] VendorID=9102 Code=I AcctID=7143284130755768	VendorCountry=United States	VendorStateProvince=Alabama	product_name=World of Wonder	categoryId=STRATEGY	price=37.20
[23/Nov/2019:18:35:59] VendorID=1105 Code=L AcctID=2262260334613140	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:36:16] VendorID=1055 Code=B AcctID=9054704365592950	VendorCountry=United States	VendorStateProvince=Alabama	product_name=Time Warp	categoryId=STRATEGY	price=99.97
[23/Nov/2019:18:36:40] VendorID=4106 Code=A AcctID=2981523288787363	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:37:04] VendorID=1021 Code=I AcctID=8061956671106855	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:18:37:34] VendorID=7035 Code=D AcctID=8444069733096611	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Beach Blast	categoryId=STRATEGY	price=196.30
[23/Nov/2019:18:37:41] VendorID=1030 Code=B AcctID=9604366345611467	VendorCountry=United States	VendorStateProvince=California	product_name=Picking Cotton	categoryId=NEGOTIATION	price=65.89
[23/Nov/2019:18:37:56] VendorID=1055 Code=F AcctID=9013572107631138	VendorCountry=United States	VendorStateProvince=Virginia	product_name=Final Sequel	categoryId=STRATEGY	price=25.52
[23/Nov/2019:18:38:23] VendorID=1151 Code=N AcctID=8761983806101017	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:18:38:43] VendorID=5007 Code=L AcctID=1348644889675125	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=World of Cheese	categoryId=STRATEGY	price=56.56
[23/Nov/2019:18:39:06] VendorID=9110 Code=A AcctID=7992461669265091	VendorCountry=United States	VendorStateProvince=California	product_name=Sim Cubicle	categoryId=STRATEGY	price=100.23
[23/Nov/2019:18:39:21] VendorID=1041 Code=I AcctID=8645874532678372	VendorCountry=Canada	VendorStateProvince=Province_1	product_name=Dream Crusher	categoryId=STRATEGY	price=10.45
[23/Nov/2019:18:39:43] VendorID=7042 Code=D AcctID=9805298126915026	VendorCountry=United States	VendorStateProvince=California	product_name=Picking Cotton	categoryId=NEGOTIATION	price=65.89
